x,y,TYPE,NAICS,ESS_CLASS,WORKER,SERIAL,N,WID2
-87.475491,30.314763,w,236116,Essential,1,689895,1,268
-87.4752615,30.3147,w,561510,Nonessential,3,669997,1,269
-87.4750400675961,30.8971183217528,w,491110,Essential,1,834811,1,270
-87.4749735,30.896442,w,561499,Essential*,1,565606,1,271
-87.474933,30.314574,w,238120,Essential*,1,642883,1,272
-87.4748205,30.779478,w,561720,Essential,1,821189,1,273
-87.4744335,30.799494,w,488119,Essential,1,678582,1,274
-87.474222,30.291408,w,561990,Essential*,1,671785,1,275
-87.47415,30.291759,w,541990,Essential*,1,564820,1,276
-87.474114,30.293217,w,511199,Nonessential,3,902648,1,277
-87.474114,30.293217,w,541690,Essential*,2,899358,1,278
-87.473583,30.988449,w,113110,Essential,1,756268,1,279
-87.4729305,30.291282,w,561990,Essential*,2,873185,1,280
-87.472611,30.293712,w,561990,Essential*,18,490075,1,281
-87.4725385648379,30.3142040130064,w,561730,Essential*,2,506240,1,282
-87.47235,30.292209,w,561499,Essential*,1,633835,1,283
-87.472314,30.290985,w,541614,Essential*,3,766633,1,284
-87.471669506225,30.7989227201096,w,922160,Essential,1,877225,1,285
-87.471603,30.291876,w,541618,Essential*,2,650926,1,286
-87.471351,30.897729,w,111920,Essential,1,499393,1,287
-87.4713015,30.962646,w,813110,Essential*,1,506131,1,288
-87.4710315,30.292965,w,561110,Essential*,1,736127,1,289
-87.4710315,30.292965,w,561990,Essential*,1,893306,1,290
-87.470964,30.29202,w,561990,Essential*,1,570565,1,291
-87.47091,30.292686,w,453998,Nonessential,1,956462,1,292
-87.4708997577694,30.8028846695571,w,722511,Essential*,1,642328,1,293
-87.470262,30.29211,w,512110,Nonessential,2,946131,1,294
-87.470262,30.29211,w,524291,Essential,1,717272,1,295
-87.470262,30.29211,w,524291,Essential,3,734831,1,296
-87.470262,30.29211,w,531110,Essential,1,835438,1,297
-87.47019,30.835467,w,238110,Essential*,1,591270,1,298
-87.4698815301979,30.291161424399,w,813910,Essential*,4,718683,1,299
-87.4698815301979,30.291161424399,w,922160,Essential,1,489750,1,300
-87.469794,30.860496,w,561510,Nonessential,1,667524,1,301
-87.4694205,30.955572,w,451120,Nonessential,1,565308,1,302
-87.4687699030068,30.8157799659455,w,999999,"",1,856398,1,303
-87.46875,30.895335,w,238320,Essential*,1,809111,1,304
-87.468651,30.855834,w,112120,Essential,1,505857,1,305
-87.4685925,30.312378,w,541618,Essential*,1,874688,1,306
-87.468561,30.785427,w,561990,Essential*,1,617361,1,307
-87.4683054697784,30.8927882836391,w,561730,Essential*,1,702950,1,308
-87.46803,30.311532,w,561790,Essential*,1,894487,1,309
-87.468021,30.313026,w,561990,Essential*,2,940764,1,310
-87.4679625,30.314556,w,561510,Nonessential,2,826832,1,311
-87.4678635,30.964005,w,236220,Essential,1,714563,1,312
-87.4678635,30.964005,w,453998,Nonessential,1,673464,1,313
-87.467643,30.311523,w,813110,Essential*,1,810923,1,314
-87.46722,30.892689,w,445230,Essential,1,703065,1,315
-87.467184,30.312567,w,423120,Essential,1,503396,1,316
-87.467094,30.796596,w,621111,Essential,1,907769,1,317
-87.4660815,30.312936,w,999999,"",1,520484,1,318
-87.4660596391616,30.8488064109868,w,624110,Essential,1,551307,1,319
-87.4655235,30.888648,w,561990,Essential*,1,496991,1,320
-87.4654335,30.767049,w,541714,"",1,889070,1,321
-87.465132,30.312657,w,722511,Essential*,1,678235,1,322
-87.465114,30.988854,w,111920,Essential,1,822949,1,323
-87.4649115,30.313773,w,561990,Essential*,3,948775,1,324
-87.4648935,30.871593,w,561990,Essential*,1,799507,1,325
-87.464844,30.906378,w,999999,"",1,830902,1,326
-87.464691,30.311388,w,541611,Essential*,1,525751,1,327
-87.464583,30.879189,w,999999,"",1,633853,1,328
-87.464052,30.291318,w,712190,Nonessential,1,523866,1,329
-87.4633815,30.906486,w,561990,Essential*,1,853548,1,330
-87.463341,30.310587,w,561990,Essential*,1,708129,1,331
-87.463332,30.970854,w,112120,Essential,1,546032,1,332
-87.4632015,30.312162,w,531210,Essential,1,649384,1,333
-87.4628505,30.994515,w,561990,Essential*,1,668429,1,334
-87.462594,30.915234,w,339999,Nonessential,1,740834,1,335
-87.461901,30.889647,w,111110,Essential,1,606058,1,336
-87.4616662723225,30.2927073972496,w,999999,"",2,646416,1,337
-87.461343,30.886596,w,621999,Essential,1,803112,1,338
-87.461163,30.881169,w,236220,Essential,1,940898,1,339
-87.4611315,30.734802,w,541110,Essential,1,620537,1,340
-87.460902,30.314556,w,531210,Essential,1,575225,1,341
-87.460533,30.313935,w,561990,Essential*,2,512710,1,342
-87.460254,30.763089,w,493110,Essential,1,717642,1,343
-87.4601325,30.313953,w,811412,Essential,1,620353,1,344
-87.4598512131918,30.9661237174034,w,443142,Essential,1,486006,1,345
-87.459813,30.31398,w,624230,Essential,9,722259,1,346
-87.4597725,30.807603,w,238110,Essential*,1,847410,1,347
-87.4596825,30.862854,w,111110,Essential,1,781107,1,348
-87.45885,30.869226,w,561611,Essential,1,682471,1,349
-87.45869542698,30.9236560904886,w,812220,Essential,1,684938,1,350
-87.4582515,30.962619,w,541320,Essential*,1,822885,1,351
-87.457812970319,30.8878818118835,s,999999,"",31,17,1,352
-87.4573425,30.951423,w,561990,Essential*,1,938994,1,353
-87.45705,30.907854,w,238150,Essential*,1,570321,1,354
-87.4568925,30.31416,w,453998,Nonessential,1,908847,1,355
-87.4559205,30.949848,w,112920,Essential,1,574316,1,356
-87.4554435,30.315177,w,238310,Essential*,1,783101,1,357
-87.455421,30.313179,w,611511,Essential*,1,597376,1,358
-87.455403,30.312918,w,238320,Essential*,1,527187,1,359
-87.455403,30.312963,w,238310,Essential*,1,770552,1,360
-87.454953,30.312855,w,561990,Essential*,2,850074,1,361
-87.454251,30.312792,w,561990,Essential*,2,731880,1,362
-87.4539971538097,30.9664926021025,w,453998,Nonessential,1,554285,1,363
-87.4539225,30.315366,w,561790,Essential*,2,772840,1,364
-87.453414,30.314547,w,812990,Nonessential,1,663427,1,365
-87.452991,30.315123,w,561990,Essential*,1,487113,1,366
-87.452604,30.315132,w,813990,Essential*,1,942223,1,367
-87.4524735,30.295314,w,561990,Essential*,4,837730,1,368
-87.45246,30.294387,w,999999,"",1,857845,1,369
-87.45228,30.29535,w,531210,Essential,1,785643,1,370
-87.45228,30.29535,w,531311,Essential,1,673907,1,371
-87.4522305,30.293325,w,511110,Essential,1,845303,1,372
-87.4521225,30.313683,w,238140,Essential*,2,603378,1,373
-87.452091,30.886155,w,813110,Essential*,1,639227,1,374
-87.45201,30.315906,w,561990,Essential*,1,802764,1,375
-87.45201,30.315906,w,813990,Essential*,1,766673,1,376
-87.45183,30.314754,w,711510,Nonessential,1,624996,1,377
-87.451182,30.313755,w,531312,Essential,2,591636,1,378
-87.4511325,30.314754,w,541990,Essential*,1,524035,1,379
-87.45111,30.314592,w,811412,Essential,1,582070,1,380
-87.451101,30.997224,w,561990,Essential*,1,601107,1,381
-87.450921,30.294603,w,531210,Essential,12,722933,1,382
-87.450921,30.294603,w,541618,Essential*,5,914179,1,383
-87.450921,30.294603,w,721110,Essential,6,680302,1,384
-87.450921,30.3156,w,813110,Essential*,1,696502,1,385
-87.450462,30.315267,w,561990,Essential*,1,813735,1,386
-87.450453,30.294666,w,531190,Essential,1,504872,1,387
-87.450453,30.294666,w,541191,Essential,26,528412,1,388
-87.450453,30.294666,w,561990,Essential*,1,738286,1,389
-87.450453,30.294666,w,813910,Essential*,3,833375,1,390
-87.4500522795741,30.7404345947128,w,722511,Essential*,1,747211,1,391
-87.4499625,30.293622,w,531210,Essential,22,534050,1,392
-87.4498635,30.294738,w,722511,Essential*,6,759790,1,393
-87.449751,30.313656,w,561990,Essential*,1,575302,1,394
-87.4494405,30.31524,w,561720,Essential,1,783437,1,395
-87.4490782065657,30.2945084658891,w,721110,Essential,1,816124,1,396
-87.448842,30.987378,w,813110,Essential*,1,508813,1,397
-87.44877,30.294882,w,561790,Essential*,2,507352,1,398
-87.4486215,30.29877,w,561110,Essential*,1,925293,1,399
-87.4484505,30.316104,w,321918,Essential*,1,863269,1,400
-87.44841,30.315699,w,561990,Essential*,1,766676,1,401
-87.44796,30.315987,w,813990,Essential*,1,717040,1,402
-87.447933,30.317049,w,532282,"",1,704195,1,403
-87.4472715,30.316797,w,238310,Essential*,1,782211,1,404
-87.4472625,30.300219,w,561990,Essential*,1,751872,1,405
-87.447231,30.315078,w,488320,Essential,1,664476,1,406
-87.447231,30.315078,w,517911,Essential*,1,926537,1,407
-87.446943,30.317535,w,531190,Essential,1,545502,1,408
-87.44679,30.982662,w,713940,Nonessential,1,778119,1,409
-87.44679,30.982662,w,999999,"",1,735233,1,410
-87.4464147525353,30.2948503201217,w,531210,Essential,1,496569,1,411
-87.4464147525353,30.2948503201217,w,531210,Essential,1,689855,1,412
-87.4463352598512,30.2948606074102,w,531210,Essential,2,944479,1,413
-87.4462905,30.316896,w,722511,Essential*,1,774251,1,414
-87.4462635,30.914838,w,541320,Essential*,1,533041,1,415
-87.4461825,30.315654,w,532111,Essential*,1,805697,1,416
-87.445944,30.301956,w,541618,Essential*,1,803103,1,417
-87.445944,30.301956,w,561990,Essential*,1,685410,1,418
-87.445944,30.301956,w,813410,Nonessential,7,603069,1,419
-87.44571,30.988386,w,561990,Essential*,1,643484,1,420
-87.445683,30.317202,w,541320,Essential*,2,803790,1,421
-87.445602,30.316239,w,561499,Essential*,1,629654,1,422
-87.4454715,30.314655,w,561520,Nonessential,2,597133,1,423
-87.445251,30.296124,w,722511,Essential*,6,486062,1,424
-87.445251,30.296124,w,999999,"",5,885082,1,425
-87.44517,30.295377,w,812112,Nonessential,1,702182,1,426
-87.445152,30.316518,w,541990,Essential*,1,913346,1,427
-87.4451025,30.315978,w,561990,Essential*,1,696407,1,428
-87.445062,30.315483,w,722511,Essential*,2,852605,1,429
-87.4448505,30.295422,w,531210,Essential,1,544348,1,430
-87.4448505,30.295422,w,541618,Essential*,3,647847,1,431
-87.4448505,30.295422,w,561720,Essential,2,682151,1,432
-87.4448505,30.319812,w,236210,Essential,1,570429,1,433
-87.4447605,30.294612,w,721199,Essential,1,550679,1,434
-87.4447605,30.294612,w,813990,Essential*,1,933305,1,435
-87.4447605,30.294612,w,999999,"",2,906309,1,436
-87.4446705,30.317895,w,561730,Essential*,1,527731,1,437
-87.4446435,30.317616,w,812112,Nonessential,1,838964,1,438
-87.4444725,30.315978,w,423850,Essential,1,882631,1,439
-87.444243,30.314214,w,532490,Essential,1,654557,1,440
-87.4441305,30.294459,w,531110,Essential,3,918998,1,441
-87.4441215,30.897972,w,561990,Essential*,1,750920,1,442
-87.443703,30.320046,w,327215,Nonessential,3,945100,1,443
-87.4436069399921,30.3150355470053,w,237990,Essential,1,661719,1,444
-87.4436069399921,30.3150355470053,w,561990,Essential*,1,960371,1,445
-87.4434915,30.320847,w,541211,Essential,1,795611,1,446
-87.4434915,30.320847,w,541618,Essential*,1,767140,1,447
-87.4434915,30.320847,w,541618,Essential*,2,836764,1,448
-87.443433,30.31704,w,561720,Essential,1,805097,1,449
-87.443352,30.316203,w,531210,Essential,1,853484,1,450
