WID,TYPE,x,y,WORKER,SERIAL,NAICS,ESS_CLASS
8545,w,-82.3731615,29.701224,1,167927,561790,Essential*
8546,w,-82.4080815,29.698263,1,167954,541110,Essential
8547,w,-82.4119117717721,29.6594880656524,1,167955,621320,Essential
8548,w,-82.5414525,29.645568,2,167963,238220,Essential*
8549,w,-82.3893705,29.675358,1,167974,453110,Nonessential
8550,w,-82.4668515,29.651679,1,167984,531110,Essential
8551,w,-82.3050135,29.659014,6,168049,448140,Nonessential
8552,w,-82.4874705,29.785095,1,168051,321912,Essential
8553,w,-82.43163,29.560122,1,168084,541110,Essential
8554,w,-82.2824415,29.80359,1,168096,561499,Essential*
8555,w,-82.4378805,29.618919000000002,1,168099,561499,Essential*
8556,w,-82.3689405,29.675988,1,168101,722511,Essential*
8557,w,-82.38645,29.677887,1,168120,541110,Essential
8558,w,-82.425042,29.656368,1,168125,621210,Essential
8559,w,-82.389231,29.674467,1,168133,561499,Essential*
8560,w,-82.38879,29.690676,1,168139,561510,Nonessential
8561,w,-82.34271,29.639799,1,168144,624310,Essential
8562,w,-82.5276915,29.762865,1,168233,444190,Essential
8563,w,-82.32318,29.6519500000001,18,168260,813110,Essential*
8564,w,-82.5012315,29.631609,2,168264,238990,Essential*
8565,w,-82.4142735,29.767725,2,168287,999999,NA
8566,w,-82.368603,29.613042,1,168299,325620,Nonessential
8567,w,-82.3012605,29.673666,6,168315,443142,Essential
8568,w,-82.404612,29.842974,1,168343,922160,Essential
8569,w,-82.3236615,29.659032,1,168351,541310,Essential
8570,w,-82.3226625,29.67273,2,168387,999999,NA
8571,w,-82.633122,29.828889,2,168395,238990,Essential*
8572,w,-82.6060132801416,29.653300252976,1,168405,445310,Essential
8573,w,-82.260252,29.675475,2,168417,541990,Essential*
8574,w,-82.4533335,29.578878,1,168461,541430,Nonessential
8575,w,-82.4104597759958,29.6594874291604,1,168471,448140,Nonessential
8576,w,-82.429713,29.682792,1,168480,561990,Essential*
8577,w,-82.3826925,29.649303,1,168507,561990,Essential*
8578,w,-82.34271,29.639799,2,168514,446199,Essential
8579,w,-82.4237325,29.651769,1,168520,923130,Essential
8580,w,-82.429713,29.682792,14,168559,611710,Essential*
8581,w,-82.3423005,29.612835,12,168590,624190,Essential
