date,mean,sd,a_shape,b_scale
2020-06-03,5.853378751812989,7.5117980082545754,0.6071911750752117,9.640091938239948
2020-06-04,5.860381743619803,7.429683202018099,0.6221730873843183,9.41921446370731
2020-06-05,5.8738820497556,7.35895432102389,0.6371155846125688,9.219492022515063
2020-06-06,5.892691474146936,7.299119829099193,0.651758073156797,9.041225136814376
2020-06-07,5.915416747073586,7.2495729224262835,0.6658031531843083,8.884633121339505
2020-06-08,5.940477805944581,7.209602849617408,0.6789222970431363,8.749864059284452
2020-06-09,5.966133781417148,7.178406368438127,0.6907643169566496,8.637003439469161
2020-06-10,5.990517859956774,7.155099621274351,0.7009666643547064,8.546080954465225
2020-06-11,6.011681661149266,7.138730735721977,0.7091693346608997,8.477075033177858
2020-06-12,6.027649005726185,7.128293432595463,0.7150308377350338,8.429914749998275
2020-06-13,6.036478002233015,7.122741852755861,0.7182453705268771,8.404478817322397
2020-06-14,6.036329328141383,7.121006701216671,0.7185600414590347,8.400591432672249
2020-06-15,6.025537541736059,7.122012660248691,0.7157907974308593,8.418014821318078
2020-06-16,6.002681375571818,7.124696854415051,0.7098356416740937,8.45643839666172
2020-06-17,5.966648377693557,7.12802797445525,0.7006838364921106,8.51546456039983
2020-06-18,5.916689111019261,7.131025500708594,0.6884200670216887,8.594591288741233
2020-06-19,5.852456476567132,7.132778328057833,0.6732229782001667,8.693191804316346
2020-06-20,5.774026607048692,7.13246199980468,0.6553580352022513,8.810491818059052
2020-06-21,5.681899118598649,7.1293537209243745,0.6351652239414675,8.945545039981997
2020-06-22,5.5769761682416394,7.122844350182944,0.6130426205077618,9.097207896609904
2020-06-23,5.460521543453062,7.112446667524458,0.5894272418767585,9.264114644695681
2020-06-24,5.3341026823782975,7.097799372662207,0.5647747924365568,9.444654318522009
2020-06-25,5.199519876197105,7.078666480786195,0.5395399214254605,9.636951168432562
2020-06-26,5.0587277755216276,7.0549320240234055,0.514158419242027,9.838850413028752
2020-06-27,4.913754623510508,7.026590221645609,0.489032448932596,10.047911205556376
2020-06-28,4.76662436963939,6.993731526156586,0.4645194943821356,10.261408675602624
2020-06-29,4.619286060749648,6.956525166453298,0.44092527502940587,10.47634672437769
2020-06-30,4.473553801185512,6.915198977786205,0.41850048679356944,10.689482909471854
2020-07-01,4.331059293231605,6.870017421820016,0.39744092225603184,10.897366251685407
2020-07-02,4.193217684079741,6.821258756006674,0.37789032140190004,11.096388149142626
2020-07-03,4.061206301305737,6.769192313395284,0.35994520912578615,11.282845828589739
2020-07-04,3.9359549574247517,6.714056810695857,0.3436609736334649,11.45301695392007
2020-07-05,3.818145898550134,6.656040525917724,0.32905850791381214,11.603243212754714
2020-07-06,3.7082211698233722,6.595264090289455,0.31613084849233464,11.730019982258352
2020-07-07,3.606395142677554,6.531766534417747,0.3048493772941716,11.830088598795063
2020-07-08,3.5126701448406608,6.4654951248109835,0.29516928409255067,11.9005273724188
2020-07-09,3.426853491807579,6.396299428857598,0.28703410540120905,11.938837327423546
2020-07-10,3.348574676775729,6.323929954193148,0.2803792536865976,11.94301872462611
2020-07-11,3.2773019796214236,6.248041617562796,0.2751345265465801,11.911634721956927
2020-07-12,3.212358258313725,6.168202200404156,0.27122564094267865,11.84385903614707
2020-07-13,3.152936150796319,6.083905832724528,0.2685748769114864,11.739505150496354
2020-07-14,3.0981133106897705,5.994591402377194,0.2671009436314913,11.599035437943327
2020-07-15,3.046868598418053,5.899665604564622,0.26671820340501406,11.423549497262304
2020-07-16,2.9981003239340196,5.798530121951706,0.2673354102263943,11.21475199037443
2020-07-17,2.9506476622538194,5.690612161832214,0.2688541417921186,10.974901270203592
2020-07-18,2.9033162156165715,5.575397284990752,0.27116712770543855,10.70674104263244
2020-07-19,2.8549083613132575,5.45246316272024,0.2741567005871232,10.413418148085741
2020-07-20,2.804258502414646,5.321512624760424,0.27769361683080535,10.098390212992326
2020-07-21,2.750272653572687,5.1824041496064295,0.28163650376365473,9.765327352169788
2020-07-22,2.6919709999927552,5.035177840469158,0.28583218255490184,9.4180122613579
2020-07-23,2.6285312518641177,4.880074962821394,0.2901170837797106,9.060242911651466
2020-07-24,2.559329895141183,4.717549320656962,0.29431990909845235,8.695741660769087
2020-07-25,2.4839779444655323,4.5482691292072435,0.298265595643322,8.328073974163527
2020-07-26,2.4023476611807832,4.373108590648197,0.30178051251270305,7.960579167880032
2020-07-27,2.314587001589048,4.193129060435446,0.3046986711371107,7.596314722841413
2020-07-28,2.221119340294884,4.009550446438756,0.3068685799090208,7.238014856240391
2020-07-29,2.1226272234244754,3.8237142350487865,0.3081602402968252,6.888063240669609
2020-07-30,2.0200204152026373,3.6370402047025827,0.30847169050936457,6.548479090146244
2020-07-31,1.914390107785834,3.4509793896011254,0.3077344747062818,6.220915318678644
2020-08-01,1.8069526310983859,3.2669661339302514,0.30591746408948717,5.906667134798865
2020-08-02,1.6989870986461992,3.0863720962762957,0.3030285825107348,5.60668925871378
2020-08-03,1.5917719849135048,2.9104648249119918,0.2991141813889917,5.321619916253448
2020-08-04,1.4865255701818236,2.7403730601369998,0.29425604211186324,5.051809843947781
2020-08-05,1.3843545373577233,2.57706029028918,0.2885662256133003,4.797354695323419
2020-08-06,1.2862138893806472,2.421307371167392,0.28218020317967635,4.558129432494806
2020-08-07,1.1928799701188877,2.2737042971235515,0.27524885909826524,4.333823486232957
2020-08-08,1.1049369368532749,2.1346505613839137,0.2679300343632111,4.123975647147498
2020-08-09,1.0227757503427377,2.004363021504914,0.26038027498616056,3.9280077970464515
2020-08-10,0.9466037679061101,1.882889828539689,0.2527473663578951,3.7452567025592707
2020-08-11,0.8764624236746752,1.7701287963736663,0.2451640959284174,3.575003184522514
2020-08-12,0.8122502643533915,1.6658485698950245,0.23774351646081787,3.4164980666770663
2020-08-13,0.7537487268960839,1.5697110699785761,0.23057580904194555,3.2689844178708465
2020-08-14,0.7006484089775664,1.481293912937268,0.22372669337234855,3.131715748426481
2020-08-15,0.652574093911978,1.4001117825800793,0.2172372204015433,3.0039700043379027
2020-08-16,0.6091073552955583,1.325636037472079,0.21112471871849395,2.8850594046627003
2020-08-17,0.5698153084950467,1.2573224565716077,0.2053879123575986,2.7743371163096864
2020-08-18,0.5342970020631402,1.1946611790150252,0.20002117401898228,2.671202209884213
2020-08-19,0.5021899932785036,1.1371845301076529,0.19501778667274375,2.5750984145934366
2020-08-20,0.47316664963813665,1.0844635308168389,0.19036992965227437,2.4855115012250764
2020-08-21,0.4469308055669254,1.0361046960715954,0.18606868841040416,2.4019667649892185
2020-08-22,0.4232147402280009,0.9917470979726273,0.18210408755219404,2.3240265823615873
2020-08-23,0.4017764455943946,0.951059671994008,0.1784651459862632,2.2512880225101215
2020-08-24,0.3823971569042466,0.9137387460711924,0.17513995233839424,2.183380501128624
2020-08-25,0.36487912029944375,0.8795057741336655,0.17211575818014335,2.1199634720113565
2020-08-26,0.3490435748677244,0.84810525716634,0.16937908616393274,2.0607241588840797
2020-08-27,0.3347289284962675,0.8193028362834981,0.16691584983737787,2.0053753362690596
2020-08-28,0.3217891089224192,0.792883543582819,0.1647114817353218,1.9536531730041056
2020-08-29,0.3100920731550851,0.7686501977247312,0.1627510663121605,1.9053151551113094
2020-08-30,0.299518460056269,0.7464219322624006,0.1610194743664431,1.860138105870562
2020-08-31,0.2899603723332557,0.7260328457385158,0.1595014958075484,1.8179163202526738
