Age,Year,Week,week_end_date,observed,expected,excess
65-74 years,2020,46,2020-11-14,868,786.56348256277,81.4365174372303
65-74 years,2020,47,2020-11-21,940,799.867070748919,140.132929251081
65-74 years,2020,48,2020-11-28,911,813.31001571056,97.68998428944
65-74 years,2020,49,2020-12-05,976,792.036641159338,183.963358840662
65-74 years,2020,50,2020-12-12,957,821.952745509177,135.047254490823
65-74 years,2020,51,2020-12-19,1039,820.673328217843,218.326671782157
65-74 years,2020,52,2020-12-26,1013,847.154309903679,165.845690096321
65-74 years,2020,53,2021-01-02,1108,847.154309903679,260.845690096321
65-74 years,2021,2,2021-01-16,1240,844.751180879704,395.248819120296
65-74 years,2021,3,2021-01-23,1155,857.777131782858,297.222868217142
65-74 years,2021,4,2021-01-30,1096,859.348051879413,236.651948120587
65-74 years,2021,5,2021-02-06,1117,886.296150047287,230.703849952713
65-74 years,2021,6,2021-02-13,1062,866.33596623389,195.66403376611
65-74 years,2021,7,2021-02-20,1018,867.29010722338,150.70989277662
65-74 years,2021,8,2021-02-27,992,860.030598084162,131.969401915838
65-74 years,2021,9,2021-03-06,960,898.258113488485,61.7418865115147
65-74 years,2021,10,2021-03-13,925,879.036640901815,45.9633590981853
65-74 years,2021,11,2021-03-20,905,856.384623938888,48.615376061112
65-74 years,2021,12,2021-03-27,896,840.982707435071,55.0172925649292
65-74 years,2021,13,2021-04-03,870,884.645300018478,-14.6453000184782
65-74 years,2021,14,2021-04-10,935,873.909077025784,61.0909229742159
65-74 years,2021,15,2021-04-17,1004,856.280316071968,147.719683928032
65-74 years,2021,16,2021-04-24,944,804.438185396282,139.561814603718
65-74 years,2021,17,2021-05-01,906,855.889703922394,50.1102960776061
65-74 years,2021,18,2021-05-08,910,829.845413148946,80.1545868510536
65-74 years,2021,19,2021-05-15,861,813.572205448842,47.4277945511579
65-74 years,2021,20,2021-05-22,907,836.814886331772,70.1851136682285
65-74 years,2021,21,2021-05-29,896,781.54547685909,114.45452314091
65-74 years,2021,22,2021-06-05,859,801.778141384897,57.2218586151033
65-74 years,2021,23,2021-06-12,859,811.77487593922,47.2251240607801
65-74 years,2021,24,2021-06-19,829,774.270854775105,54.7291452248956
65-74 years,2021,25,2021-06-26,872,781.265521919022,90.7344780809776
65-74 years,2021,26,2021-07-03,866,788.019121261768,77.9808787382323
65-74 years,2021,27,2021-07-10,847,798.015589795263,48.9844102047367
65-74 years,2021,28,2021-07-17,898,783.526828331005,114.473171668995
65-74 years,2021,29,2021-07-24,970,778.27663971172,191.72336028828
65-74 years,2021,30,2021-07-31,1082,799.781457544599,282.218542455401
65-74 years,2021,31,2021-08-07,1159,812.029116700269,346.970883299731
